AnimalID,FoundLocation,Latitude,Longtitude,IntakeDate,Type,LooksLike,Color,Sex,Age,ImageLink
A771205,6509 BURNET LANE AUSTIN 78757  ,30.340551,-97.738186,5/2/2018,Cat,Tonkinese Mix,Lilac Point,Unknown,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A771205
A771207,7824 PACES MILL AUSTIN 78744  ,30.161583,-97.744917,5/2/2018,Cat,Siamese Mix,Calico,Spayed Female,12 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A771207
A771217,305 KEMP STREET AUSTIN 78741  ,30.242553,-97.693774,5/2/2018,Dog,Jack Russell Terrier Mix,Tan,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A771217
A771219,1509 TEA LEAF DRIVE AUSTIN 78660  ,30.421363,-97.633661,5/2/2018,Dog,Pit Bull Mix,Brown/White,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A771219
A771223,1915 HEARTSIDE DRIVE AUSTIN 78757  ,30.36619,-97.722635,5/2/2018,Dog,Chihuahua Shorthair Mix,White/Tricolor,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A771223
A771224,2206 BERKELEY AVENUE AUSTIN 78745  ,30.209485,-97.806106,5/2/2018,Dog,Yorkshire Terrier Mix,Black/Fawn,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A771224
A771225,6124 PEBBLE GARDEN COURT AUSTIN 78739  ,30.184644,-97.894332,5/2/2018,Dog,Yorkshire Terrier Mix,Black,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A771225
A771236,7408 COVERED BRIDGE DRIVE AUSTIN 78736  ,30.240028,-97.900856,5/2/2018,Cat,Domestic Shorthair Mix,Black/White,Intact Male,4 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771236
A771261,17815 ALBERT VOELKER ROAD 78621  ,30.336067,-97.440939,5/2/2018,Cat,Domestic Shorthair Mix,Brown Tabby,Intact Female,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771261
A771262,12700 TOPPER LANE 78652  ,30.136679,-97.842672,5/2/2018,Cat,Domestic Shorthair Mix,Cream Tabby,Intact Male,3 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771262
A771268,3036 SOUTH 1ST STREET AUSTIN 78704  ,30.233839,-97.76485,5/2/2018,Cat,Domestic Longhair Mix,Calico,Intact Female,5 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771268
A771271,1441 SOUTH MEADOWS DRIVE AUSTIN 78758  ,30.380929,-97.699327,5/2/2018,Dog,Pit Bull,Black/White,Neutered Male,7 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A771271
A771273,3200 SOUTH 1ST STREET AUSTIN 78704  ,30.233068,-97.765339,5/2/2018,Dog,Yorkshire Terrier Mix,Fawn/Black,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A771273
A771290,6201 SOFTWOOD DRIVE AUSTIN 78744  ,30.185879,-97.74859,5/3/2018,Cat,Domestic Shorthair Mix,Calico,Intact Female,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A771290
A771291,6201 SOFTWOOD DRIVE AUSTIN 78744  ,30.185879,-97.74859,5/3/2018,Cat,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771291
A771292,6201 SOFTWOOD DRIVE AUSTIN 78744  ,30.185879,-97.74859,5/3/2018,Cat,Domestic Shorthair Mix,Black/White,Intact Male,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771292
A771293,6201 SOFTWOOD DRIVE AUSTIN 78744  ,30.185879,-97.74859,5/3/2018,Cat,Domestic Shorthair Mix,Orange Tabby/White,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A771293
